text,label
The in-app chat support feature is incredibly helpful.,1
The ability to track multiple orders simultaneously would be beneficial.,1
I suggest adding a feature to customize delivery instructions.,1
Providing estimated delivery times for each restaurant would improve transparency.,1
Offering discounts for frequent users would encourage loyalty.,1
The app's search function needs refinement for better results.,0
"I've experienced issues with payment processing, which is frustrating.",0
"The latest update has introduced bugs, making the app unusable.",0
The delivery driver was rude and unprofessional.,0
There should be stricter policies for driver background checks.,0
"The app frequently logs me out, causing inconvenience.",0
The app lacks a feature to reorder previous orders easily.,1
More customization options for meal preferences would be appreciated.,1
A feature to rate specific items within an order would provide valuable feedback.,1
The app's notification system needs improvement for timely updates.,0
The customer service response time is unacceptable.,0
There should be an option to filter restaurants based on dietary restrictions.,1
Implementing a referral program would incentivize users to invite others.,1
The app often shows inaccurate estimated delivery times.,0
The order history should display more detailed information.,1
Adding a dark mode option would be great for nighttime usage.,1
"The app consumes too much battery life, even in the background.",0
The delivery fee is too high compared to competitors.,0
There should be a way to track the location of delivery drivers in real-time.,1
The app's loading times are frustratingly slow.,0
There's a lack of variety in the restaurant options available.,0
The app should remember my preferred payment method for future orders.,1
The customer support team is unresponsive to inquiries.,0
The app's layout could be more visually appealing.,1
I encountered difficulties applying promo codes during checkout.,0
There should be an option to split bills when ordering with friends.,1
The app should provide recommendations based on past orders.,1
The delivery tracking map doesn't update in real-time.,0
The app's language translation feature is inaccurate.,0
The option to schedule orders in advance would be convenient.,1
The app's customer support chatbot is not helpful.,0
Implementing a feature to order for pickup would be useful.,1
The app crashes every time I try to add a new address.,0
There's a lack of clarity regarding delivery fees.,0
The order confirmation emails sometimes arrive late.,0
The app's search filters could be more granular for better results.,1
Adding a feature to track loyalty points would incentivize repeat orders.,1
The app's tutorial for new users is unclear and needs improvement.,0
There should be an option to leave feedback for specific restaurants.,1
"The app's font size is too small, making it difficult to read.",0
Offering discounts during off-peak hours would help distribute demand.,1
The app's referral rewards program is not adequately promoted.,0
There should be a way to filter restaurants based on their hygiene ratings.,1
The app's loading animation is distracting and unnecessary.,0
The order history should include detailed receipts for each transaction.,1
The app's location accuracy needs improvement for accurate pickup points.,0
Adding an option to pre-select favorite items for faster ordering would be convenient.,1
The app's notification sound is too loud and cannot be adjusted.,0
There should be an option to rate delivery drivers based on their service.,1
The app's layout could be optimized for larger screens on tablets.,1
"The app frequently logs me out, requiring constant re-login.",0
There should be an option to filter restaurants based on delivery time estimates.,1
The app's language localization feature is incomplete and inconsistent.,0
The checkout process should allow for split payments between multiple methods.,1
The app's support documentation is outdated and does not address current issues.,0
Adding a feature to track the environmental impact of deliveries would be informative.,1
The app's map navigation feature often suggests longer routes.,0
There should be an option to reorder entire past orders with one click.,1
The app's loading screen should display helpful tips or promotions.,1
The app's voice recognition feature misunderstands commands frequently.,0
Providing real-time updates on order preparation status would reduce uncertainty.,1
The app's referral program terms and conditions are unclear.,0
There should be an option to review and edit orders before finalizing.,1
The app's payment confirmation screen is too cluttered.,0
Implementing a feature to request specific delivery time slots would be convenient.,1
The app's chat support feature often disconnects unexpectedly.,0
The app's promotional offers should be more prominently displayed.,1
The app's onboarding process should include a tour of key features.,1
"The app frequently freezes during checkout, causing frustration.",0
There should be an option to set dietary preferences for personalized restaurant suggestions.,1
The app's GPS tracking drains battery excessively.,0
The app's order confirmation emails sometimes land in spam folders.,0
Adding a feature to split bills among group orders would be practical.,1
The app's loading animation is outdated and could be more engaging.,1
The app's customer support hotline is often busy or unavailable.,0
There should be an option to rate the accuracy of order fulfillment.,1
The app's checkout process should allow for guest checkout without account creation.,1
The app's notifications should include previews of messages for convenience.,1
The app's restaurant search results should prioritize nearby options.,1
There should be an option to report incorrect menu items or prices.,1
The app's live chat support agents should be more knowledgeable.,0
Adding a feature to track delivery progress on a map in real-time would be useful.,1
"The app's loading times are excessively long, especially during peak hours.",0
The app's customer rating system should consider both driver and restaurant performance.,1
The app should allow users to schedule recurring orders for convenience.,1
The app's promotional offers should be tailored to individual user preferences.,1
There should be an option to filter restaurants based on their sustainability practices.,1
The app's order tracking feature should provide estimated arrival times with greater accuracy.,0
Adding a feature to request contactless delivery would address current safety concerns.,1
The app's loading screen should display informative tips or facts to engage users.,1
The app's photo upload feature for user reviews should support higher resolution images.,1
There should be an option to rate the quality of customer service received from support agents.,1
The app's search function should prioritize popular or highly-rated restaurants.,1
The app's user interface should include a dark mode option for reduced eye strain.,1
There should be an option to add custom notes or instructions for restaurant orders.,1
The app's referral program should offer rewards for both referrer and referee.,1
The app's in-app navigation feature should support alternate routes for better efficiency.,0
There should be an option to filter restaurants based on their eco-friendly packaging options.,1
The app's customer support response times should be displayed in the chat interface.,1
There should be an option to provide feedback on individual menu items for restaurant improvement.,1
The app's notification system should include reminders for upcoming scheduled orders.,1
The app's rating system should include more detailed criteria for better feedback.,1
There should be an option to search for restaurants based on specific cuisine types.,1
The app's location accuracy should be improved for smoother pickup and drop-off experiences.,0
Adding a feature to reorder previous group orders would simplify the process for social gatherings.,1
The app's order confirmation emails should include itemized breakdowns for transparency.,1
There should be an option to filter restaurants based on their availability of vegetarian or vegan options.,1
The app's tutorial for new users should include interactive elements for better engagement.,1
The app's loading animation should be optimized for faster loading times.,1
There should be an option to rate the accuracy of estimated delivery times.,1
The app's checkout process should offer guest checkout as a quick option for new users.,1
There should be an option to provide feedback on the condition of delivered food items.,1
The app's search results should include filters for price ranges to suit different budgets.,1
The app's customer support chat feature should include automated responses for common inquiries.,0
There should be an option to customize the app's home screen with preferred restaurant categories.,1
